,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,dep,gs3,pa,p1
83,24.0,21.0,12.0,3.0,3.888888888888889,2.888888888888889,3.375,3.7,01,0.9999999999999996,0.5714285714285714,0.7142857142857143
84,15.0,14.0,10.0,3.625,2.4444444444444446,3.0,2.5,4.6,01,0.7999999999999998,0.2857142857142857,0.42857142857142855
85,9.0,12.0,10.0,2.25,4.888888888888889,5.0,1.0,4.9,01,0.0,-0.8571428571428572,-0.14285714285714285
86,9.0,9.0,7.0,3.625,4.777777777777779,4.888888888888889,1.75,4.8,01,1.4,-0.28571428571428575,0.42857142857142855
87,9.0,11.0,3.0,1.75,3.333333333333333,4.111111111111111,4.0,3.7,01,2.0,0.2857142857142857,0.14285714285714285
88,10.0,11.0,7.0,2.25,3.7777777777777777,3.888888888888889,2.25,4.1,01,-0.6000000000000001,0.7142857142857143,0.7142857142857143
89,22.0,20.0,13.0,2.125,4.777777777777779,4.111111111111111,2.5,2.6,01,0.9999999999999996,-0.5714285714285714,-0.42857142857142855
90,14.0,19.0,12.0,2.0,3.555555555555556,3.7777777777777777,2.5,3.4,01,-0.5999999999999996,-0.28571428571428575,0.42857142857142855
91,10.0,17.0,7.0,1.5,3.111111111111111,3.6666666666666665,3.375,3.3,01,-0.3999999999999999,0.5714285714285714,0.7142857142857143
92,13.0,17.0,9.0,2.625,4.0,4.222222222222221,2.875,4.0,01,0.6000000000000001,0.28571428571428575,0.7142857142857143
93,13.0,15.0,4.0,2.125,3.7777777777777777,2.555555555555556,4.375,3.3,01,0.0,-0.28571428571428575,0.42857142857142855
94,17.0,25.0,15.0,2.375,2.333333333333333,4.666666666666667,1.0,3.6,01,-0.7999999999999998,0.7142857142857143,0.7142857142857143
95,10.0,19.0,13.0,2.5,3.0,4.5555555555555545,2.75,3.8,01,-1.1999999999999997,0.0,0.14285714285714285
96,9.0,12.0,8.0,3.0,3.7777777777777777,4.0,4.875,4.5,01,1.2000000000000002,-0.42857142857142855,0.0
97,22.0,19.0,12.0,2.0,3.333333333333333,4.0,3.25,3.4,01,-0.20000000000000018,0.0,0.14285714285714285
98,14.0,15.0,10.0,1.25,4.333333333333333,2.555555555555556,4.5,4.3,01,0.0,-0.8571428571428571,-0.42857142857142855
99,15.0,12.0,8.0,3.125,3.555555555555556,3.7777777777777777,2.125,3.4,01,-0.5999999999999996,-0.42857142857142855,0.0
100,10.0,15.0,6.0,3.0,3.0,3.7777777777777777,4.875,3.3,01,0.0,0.5714285714285714,0.7142857142857143
101,23.0,15.0,15.0,1.125,2.6666666666666665,3.888888888888889,5.0,1.1,01,1.7999999999999998,-0.8571428571428572,-0.14285714285714285
102,12.0,11.0,6.0,3.0,3.7777777777777777,4.0,2.0,3.7,01,0.5999999999999996,-0.2857142857142857,-0.14285714285714285
103,25.0,20.0,7.0,3.0,3.0,3.4444444444444446,3.125,3.2,01,-0.20000000000000018,0.14285714285714285,0.0
104,13.0,10.0,6.0,2.25,3.333333333333333,4.5555555555555545,3.375,4.8,01,0.3999999999999999,-0.42857142857142855,0.0
105,14.0,16.0,10.0,3.5,3.333333333333333,4.0,2.5,3.2,01,0.8000000000000003,0.42857142857142855,0.42857142857142855
106,6.0,9.0,7.0,4.25,3.6666666666666665,4.777777777777779,1.875,4.1,01,-2.1999999999999997,0.0,0.0
107,7.0,12.0,7.0,4.5,4.888888888888889,4.666666666666667,1.0,4.3,01,0.8000000000000003,0.28571428571428575,0.7142857142857143
108,15.0,12.0,10.0,2.0,3.111111111111111,2.7777777777777777,2.125,2.4,01,-0.7999999999999998,0.42857142857142855,0.42857142857142855
109,18.0,21.0,12.0,1.25,3.888888888888889,3.4444444444444446,1.375,3.4,01,-4.0,-0.14285714285714285,0.0
110,11.0,20.0,13.0,1.75,4.222222222222221,3.888888888888889,3.125,4.1,01,1.4,0.7142857142857143,0.7142857142857143
111,7.0,18.0,10.0,3.875,4.777777777777779,4.888888888888889,1.0,4.7,01,0.0,-0.14285714285714285,0.0
112,7.0,14.0,7.0,2.875,4.4444444444444455,3.333333333333333,3.0,4.5,01,1.4,0.8571428571428571,0.42857142857142855
113,12.0,13.0,6.0,3.0,4.4444444444444455,4.111111111111111,1.625,4.5,01,-0.40000000000000036,0.0,0.42857142857142855
114,9.0,16.0,7.0,3.0,3.7777777777777777,4.5555555555555545,1.375,4.2,01,-0.3999999999999999,0.0,0.7142857142857143
115,23.0,23.0,10.0,3.125,3.333333333333333,4.333333333333333,3.125,3.8,01,1.0000000000000004,0.7142857142857143,0.7142857142857143
116,6.0,10.0,8.0,4.625,5.0,5.0,1.125,4.6,01,2.2,0.5714285714285714,0.42857142857142855
117,10.0,20.0,13.0,3.0,2.888888888888889,5.0,1.125,3.2,01,0.5999999999999996,0.7142857142857143,0.7142857142857143
118,13.0,13.0,7.0,3.0,3.7777777777777777,3.7777777777777777,2.125,3.3,01,1.4,0.7142857142857143,0.7142857142857143
119,21.0,18.0,12.0,2.0,3.2222222222222223,3.333333333333333,4.0,2.3,01,0.0,0.5714285714285714,0.14285714285714285
